,Serial Number,Word,Frequency
0,0,the,69971
1,1,fulton,17
2,2,county,155
3,3,grand,48
4,4,jury,67
5,5,said,1961
6,6,friday,60
7,7,an,3740
8,8,investigation,51
9,9,of,36412
10,10,atlanta's,4
11,11,recent,179
12,12,primary,96
13,13,election,77
14,14,produced,90
15,15,``,8837
16,16,no,2139
17,17,evidence,204
18,18,'',8789
19,19,that,10594
20,20,any,1344
21,21,irregularities,8
22,22,took,426
23,23,place,570
24,24,.,49346
25,25,further,218
26,26,in,21337
27,27,city,393
28,28,executive,55
29,29,committee,168
30,30,",",58334
31,31,which,3561
32,32,had,5133
33,33,over-all,35
34,34,charge,122
35,35,deserves,16
36,36,praise,17
37,37,and,28853
38,38,thanks,37
39,39,atlanta,35
40,40,for,9489
41,41,manner,124
42,42,was,9815
43,43,conducted,55
44,44,term,79
45,45,been,2472
46,46,charged,57
47,47,by,5306
48,48,superior,46
49,49,court,230
50,50,judge,77
51,51,to,26158
52,52,investigate,11
53,53,reports,84
54,54,possible,374
55,55,won,68
56,56,ivan,4
57,57,allen,20
58,58,jr.,75
59,59,only,1748
60,60,a,23195
61,61,relative,46
62,62,handful,13
63,63,such,1303
64,64,received,163
65,65,considering,47
66,66,widespread,30
67,67,interest,330
68,68,number,472
69,69,voters,20
70,70,size,138
71,71,this,5145
72,72,it,8760
73,73,did,1044
74,74,find,400
75,75,many,1030
76,76,georgia's,9
77,77,registration,23
78,78,laws,88
79,79,are,4394
80,80,outmoded,4
81,81,or,4206
82,82,inadequate,32
83,83,often,369
84,84,ambiguous,22
85,85,recommended,46
86,86,legislators,20
87,87,act,283
88,88,have,3942
89,89,these,1573
90,90,studied,79
91,91,revised,16
92,92,end,409
93,93,modernizing,4
94,94,improving,16
95,95,them,1788
96,96,commented,18
97,97,on,6741
98,98,other,1702
99,99,topics,10
100,100,among,370
101,101,purchasing,17
102,102,departments,25
103,103,well,897
104,104,operated,27
105,105,follow,97
106,106,generally,132
107,107,accepted,96
108,108,practices,53
109,109,best,351
110,110,both,730
111,111,governments,61
112,112,merger,21
113,113,proposed,84
114,114,however,552
115,115,believes,43
116,116,two,1412
117,117,offices,45
118,118,should,888
119,119,be,6377
120,120,combined,40
121,121,achieve,51
122,122,greater,188
123,123,efficiency,50
124,124,reduce,62
125,125,cost,229
126,126,administration,161
127,127,department,225
128,128,is,10109
129,129,lacking,32
130,130,experienced,53
131,131,clerical,9
132,132,personnel,75
133,133,as,7253
134,134,result,244
135,135,policies,68
136,136,urged,35
137,137,take,610
138,138,steps,119
139,139,remedy,13
140,140,problem,313
141,141,implementation,8
142,142,automobile,50
143,143,title,77
144,144,law,299
145,145,also,1069
146,146,outgoing,8
147,147,next,394
148,148,legislature,39
149,149,provide,216
150,150,enabling,13
151,151,funds,95
152,152,effective,129
153,153,date,103
154,154,so,1985
155,155,orderly,20
156,156,may,1402
157,157,effected,12
158,158,at,5372
159,159,state,807
160,160,welfare,53
161,161,department's,17
162,162,handling,38
163,163,federal,246
164,164,granted,56
165,165,child,213
166,166,services,139
167,167,foster,15
168,168,homes,62
169,169,one,3292
170,170,major,247
171,171,items,72
172,172,general,498
173,173,assistance,87
174,174,program,394
175,175,but,4381
176,176,has,2437
177,177,seen,279
178,178,fit,75
179,179,distribute,6
180,180,through,971
181,181,all,3001
182,182,counties,35
183,183,with,7289
184,184,exception,40
185,185,receives,20
186,186,none,108
187,187,money,265
188,188,jurors,4
189,189,they,3620
190,190,realize,69
191,191,proportionate,9
192,192,distribution,85
193,193,might,672
194,194,our,1252
195,195,less,437
196,196,populous,5
197,197,nevertheless,73
198,198,we,2652
199,199,feel,216
200,200,future,227
201,201,receive,76
202,202,some,1618
203,203,portion,62
204,204,available,245
205,205,failure,89
206,206,do,1363
207,207,will,2245
208,208,continue,107
209,209,burden,44
210,210,taxpayers,21
211,211,under,707
212,212,fire,187
213,213,its,1858
214,214,appointment,28
215,215,guardians,4
216,216,administrators,5
217,217,fees,29
218,218,compensation,17
219,219,protected,31
220,220,found,536
221,221,incorporated,13
222,222,into,1791
223,223,operating,87
224,224,procedures,61
225,225,recommendations,22
226,226,previous,86
227,227,bar,82
228,228,association,132
229,229,interim,11
230,230,citizens,86
231,231,actions,68
232,232,serve,107
233,233,protect,34
234,234,fact,447
235,235,effect,213
236,236,court's,8
237,237,from,4370
238,238,undue,13
239,239,costs,176
240,240,appointed,42
241,241,elected,33
242,242,servants,22
243,243,criticisms,11
244,244,regarding,40
245,245,new,1635
246,246,airport,19
247,247,when,2331
248,248,management,91
249,249,takes,86
250,250,jan.,20
251,251,1,527
252,252,eliminate,26
253,253,political,258
254,254,influences,14
255,255,not,4610
256,256,elaborate,32
257,257,added,172
258,258,there,2728
259,259,periodic,9
260,260,surveillance,6
261,261,pricing,7
262,262,concessionaires,7
263,263,purpose,149
264,264,keeping,60
265,265,prices,61
266,266,reasonable,64
267,267,ask,128
268,268,jail,21
269,269,deputies,13
270,270,matters,64
271,271,:,1795
272,272,(,2435
273,273,),2466
274,274,four,360
275,275,additional,120
276,276,employed,49
277,277,doctor,100
278,278,medical,162
279,279,night,411
280,280,weekend,27
281,281,duty,61
282,282,2,446
283,283,work,762
284,284,officials,62
285,285,pass,89
286,286,legislation,46
287,287,permit,77
288,288,establishment,52
289,289,fair,78
290,290,equitable,11
291,291,pension,13
292,292,plan,205
293,293,employes,17
294,294,praised,13
295,295,operation,113
296,296,police,155
297,297,tax,201
298,298,office,255
299,299,prison,42
300,300,farms,16
301,301,grady,5
302,302,hospital,110
303,303,health,105
304,304,mayor,38
305,305,william,148
306,306,b.,76
307,307,hartsfield,5
308,308,filed,33
309,309,suit,48
310,310,divorce,29
311,311,his,6996
312,312,wife,228
313,313,pearl,9
314,314,williams,32
315,315,petition,15
316,316,mental,43
317,317,cruelty,13
318,318,couple,122
319,319,married,105
320,320,aug.,25
321,321,1913,12
322,322,son,165
323,323,berry,9
324,324,daughter,72
325,325,mrs.,534
326,326,j.,120
327,327,m.,62
328,328,griffin,4
329,329,attorneys,9
330,330,property,156
331,331,settlement,26
332,332,agreed,81
333,333,upon,495
334,334,listed,44
335,335,mayor's,9
336,336,occupation,24
337,337,attorney,65
338,338,age,227
339,339,71,10
340,340,wife's,15
341,341,74,6
342,342,birth,66
343,343,ala.,7
344,344,lived,115
345,345,together,267
346,346,man,1207
347,347,more,2215
348,348,than,1790
349,349,year,658
350,350,home,547
351,351,e.,86
352,352,pelham,5
353,353,aj,118
354,354,henry,83
355,355,l.,56
356,356,brief,73
357,357,interlude,5
358,358,since,628
359,359,1937,10
360,360,career,67
361,361,goes,89
362,362,back,966
363,363,council,103
364,364,1923,7
365,365,present,377
366,366,he,9548
367,367,succeeded,33
368,368,who,2252
369,369,became,246
370,370,candidate,34
371,371,sept.,34
372,372,13,49
373,373,after,1069
374,374,announced,88
375,375,would,2714
376,376,run,212
377,377,georgia,46
378,378,republicans,29
379,379,getting,164
380,380,strong,202
381,381,encouragement,14
382,382,enter,78
383,383,1962,35
384,384,governor's,14
385,385,race,103
386,386,top,204
387,387,official,75
388,388,wednesday,35
389,389,robert,83
390,390,gop,13
391,391,chairman,67
392,392,meeting,159
393,393,held,264
394,394,tuesday,58
395,395,blue,143
396,396,ridge,18
397,397,brought,253
398,398,enthusiastic,24
399,399,responses,28
400,400,audience,115
401,401,party,216
402,402,james,101
403,403,w.,84
404,404,enthusiasm,28
405,405,picking,14
406,406,up,1890
407,407,rally,10
408,408,8,106
409,409,savannah,9
410,410,newly,28
411,411,texas,69
412,412,sen.,30
413,413,john,362
414,414,tower,13
415,415,featured,8
416,416,speaker,49
417,417,warned,22
418,418,entering,24
419,419,governor,83
420,420,force,230
421,421,petitions,8
422,422,out,2097
423,423,voting,30
424,424,precincts,5
425,425,obtain,42
426,426,signatures,5
427,427,registered,23
428,428,despite,104
429,429,warning,44
430,430,unanimous,5
431,431,vote,75
432,432,according,140
433,433,attended,36
434,434,crowd,53
435,435,asked,398
436,436,whether,286
437,437,wanted,226
438,438,wait,94
439,439,make,794
440,440,voted,27
441,441,--,3432
442,442,were,3284
443,443,largest,53
444,444,face,371
445,445,says,200
446,446,before,1016
447,447,making,255
448,448,first,1361
449,449,alternative,34
450,450,courses,61
451,451,must,1013
452,452,taken,281
453,453,five,286
454,454,per,371
455,455,cent,155
456,456,each,877
457,457,sign,94
458,458,requesting,8
459,459,allowed,86
460,460,names,89
461,461,candidates,38
462,462,ballot,12
463,463,hold,169
464,464,unit,103
465,465,system,416
466,466,platform,72
467,467,sam,79
468,468,highway,40
469,469,public,438
470,470,relations,102
471,471,director,101
472,472,resigned,9
473,473,lt.,8
474,474,gov.,19
475,475,garland,9
476,476,campaign,81
477,477,resignation,7
478,478,expected,187
479,479,time,1598
480,480,rob,19
481,481,assistant,36
482,482,three,610
483,483,years,950
484,484,gubernatorial,7
485,485,starts,31
486,486,become,359
487,487,coordinator,5
488,488,byrd,9
489,489,wind,63
490,490,1961,134
491,491,session,80
492,492,monday,68
493,493,head,424
494,494,where,937
495,495,bond,46
496,496,approved,40
497,497,shortly,34
498,498,adjournment,4
499,499,afternoon,106
500,500,senate,62
501,501,approve,14
502,502,study,246
503,503,allotted,10
504,504,rural,54
505,505,urban,42
506,506,areas,236
507,507,determine,107
508,508,what,1908
509,509,adjustments,20
510,510,made,1125
